Comment,Designator,Footprint,LCSC,Quantity
XIAO-ESP32-C3-SMD,U1,XIAO-ESP32-C3-SMD,,1
SW_Push,SW2,SW_PUSH_6mm,,1
SW_Push,SW1,SW_PUSH_6mm,,1
SK6812,D72,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D71,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D70,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D69,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D68,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D67,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D66,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D65,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D64,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D63,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D62,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D61,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D60,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D59,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D58,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D57,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D56,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D55,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D54,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D53,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D52,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D51,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D50,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D49,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D48,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D47,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D46,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D45,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D44,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D43,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D42,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D41,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D40,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D39,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D38,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D37,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
